length,duration,src_port,dst_port,src_ip,dst_ip,proto_BROWSER,proto_DNS,proto_HTTP,proto_MDNS,proto_QUIC,proto_SSDP,proto_TCP,proto_TLSv1.2,proto_TLSv1.3,proto_UDP,proto_UDP/XML,euclidean_to_mean,cosine_to_mean
68,0.0,443,58715,3232904810,3232258180,False,False,False,False,False,False,False,False,False,True,False,5.456766313609316,-0.17873291340089317
55,0.532292,50160,443,3232258180,3427780043,False,False,False,False,False,False,True,False,False,False,False,7.963685033082726,-0.29351599567244735
66,0.042240000000000055,443,50160,3427780043,3232258180,False,False,False,False,False,False,True,False,False,False,False,4.297367476097496,-0.42725019734784825
54,0.204457,443,52129,3427780043,3232258180,False,False,False,False,False,False,True,False,False,False,False,4.955181741501977,-0.36155158278510896
55,0.05795600000000001,56948,443,3232258180,1746534706,False,False,False,False,False,False,True,False,False,False,False,5.033721667467732,-0.16484775721119474
66,0.00446599999999997,443,56948,1746534706,3232258180,False,False,False,False,False,False,True,False,False,False,False,4.51061053884518,-0.5106004444521469
103,0.051118,0,0,3232258185,3758096635,False,False,False,True,False,False,False,False,False,False,False,40.658100588976595,0.011237065410024633
55,0.2809069999999999,64813,443,3232258180,2527795979,False,False,False,False,False,False,True,False,False,False,False,6.205023298980202,-0.272950153055925
66,0.23946,443,64813,2527795979,3232258180,False,False,False,False,False,False,True,False,False,False,False,5.4828716502202095,-0.3794266362322375
54,0.25367800000000007,59900,443,3232258180,1758466136,False,False,False,False,False,False,True,False,False,False,False,5.946905398902258,-0.1374301666094141
86,0.1971560000000001,0,0,3232258180,1719953429,False,False,False,False,False,False,False,True,False,False,False,5.98303968322644,0.12363543982922273
54,0.2672319999999997,443,62359,1719953429,3232258180,False,False,False,False,False,False,True,False,False,False,False,5.682188363822443,-0.3962900282345088
82,0.0,0,0,1719953429,3232258180,False,False,False,False,False,False,False,True,False,False,False,5.441559795064947,-0.23825297213145719
54,0.052359000000000044,62359,443,3232258180,1719953429,False,False,False,False,False,False,True,False,False,False,False,5.292903716839267,-0.16707366181989275
71,0.09671200000000013,63752,443,3232258180,398779366,False,False,False,False,False,False,False,False,False,True,False,6.78260043518209,0.2189249480906598
68,0.07744000000000018,443,63752,398779366,3232258180,False,False,False,False,False,False,False,False,False,True,False,6.2142553023690486,-0.2689839453161051
55,0.01855299999999982,57479,443,3232258180,3314891497,False,False,False,False,False,False,True,False,False,False,False,4.912330383778189,-0.5106768658633043
66,0.004919999999999813,443,57479,3314891497,3232258180,False,False,False,False,False,False,True,False,False,False,False,4.519561384211264,-0.42569182227448293
55,0.26946800000000026,54579,443,3232258180,1745899593,False,False,False,False,False,False,True,False,False,False,False,5.842960209346742,-0.12308124197001412
55,6.100000000008876e-05,52213,443,3232258180,1745899593,False,False,False,False,False,False,True,False,False,False,False,4.796858631067589,-0.16240417960340287
66,0.008634999999999948,443,54579,1745899593,3232258180,False,False,False,False,False,False,True,False,False,False,False,4.4215930334289055,-0.5171280758604019
